method,url_template,classification,verification,query_keys,parameter_expression,source,line,column
POST,/jdy-fi/{dbId}/gl/v1/finance/balance-item,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/22.31ba7e7e.chunk.js,1,16453
POST,/jdy-fi/{dbId}/gl/v1/finance/balance/scm-acct,post_query_candidate_needs_review,not_probed,,a,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/22.31ba7e7e.chunk.js,1,67903
POST,/jdy-fi/{dbId}/gl/v1/voucher/find-balance,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,264629
POST,/jdy-fi/{dbId}/rpt/v1/balance/formula,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/42.9b16857e.chunk.js,1,8283
POST,/jdy-fi/{dbId}/rpt/v1/balance/formula/calculate,post_query_candidate_needs_review,not_probed,,o,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/42.9b16857e.chunk.js,1,42685
POST,/jdy-fi/{dbId}/rpt/v1/balance/pre-bal-by-cache,post_query_candidate_needs_review,not_probed,,t,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/42.9b16857e.chunk.js,1,44801
POST,/jdy-fi/{dbId}/stock/v1/bill/query,post_query_candidate_needs_review,not_probed,,f,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/37.8faf31ca.chunk.js,1,30635
POST,/jdy-fi/{dbId}/stock/v1/stockBalance/query,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/60.fe39d594.chunk.js,1,8707
POST,/jdy-fi/{dbId}/vat/v1/invoice/goodsrule/query/matched,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,348615
POST,/jdy-fi/{dbId}/vat/v1/invoice/goodsrule/query/matching,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,348409
POST,/jdy-fi/{dbId}/vat/v1/invoice/goodsrule/query/matching_check,post_query_candidate_needs_review,not_probed,,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,348509
POST,/noteprint/noteprinttemp?m=findByType&type={e},post_query_candidate_needs_review,not_probed,"m,type",e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,78910
POST,/noteprint/noteprinttemp?m=findByType&type={printType},post_query_candidate_needs_review,not_probed,"m,type",,https://vip4-kj.kdzwy.com/js/common/common.js?ver=202609151511,737,14
POST,/report/report?m=getAccountBal,post_query_candidate_needs_review,not_probed,m,_postData,https://vip4-kj.kdzwy.com/js/dist/voucher.js?ver=202609151511,2,31509
POST,https://open.jdy.com/api/commomlinks/list,post_query_candidate_needs_review,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1225840
POST,https://open.jdy.com/api/dynamic/list,post_query_candidate_needs_review,not_probed,,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1225927
GET,/acct/bu.do?m=list,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,560876
GET,/acct/bu.do?m=remainCount,read_candidate,not_probed,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,302341
GET,/acct/employee.do?m=findCurrentEmp,read_candidate,not_probed,m,e,https://vip4-kj.kdzwy.com/home/static/js/app.0833bc2f.js,1,1219400
GET,/acct/right.do?m=isRight,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,598850
GET,/basedata/initParams?m=extendTrialService,read_candidate,not_probed,m,,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,81857
GET,/basedata/initParams?m=getCommonFunctions,read_candidate,verified_business_success,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,71695
GET,/basedata/initParams?m=getSystemParams,read_candidate,verified_business_success,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,71621
GET,/basedata/initParams?m=userServiceCode,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,305485
GET,/bs/assist.do?m=getUserSetting,read_candidate,not_probed,m,e,https://static.kdzwy.com/saas/vip1/accounting/static_production_20260915152836/js/main.606e9379.chunk.js,1,78445
